t_key,t_korean
^feamagnatu00_name^,^Earth^
^feamagnatu00_description_1^,^The power of angered Magatu is damaged and for a certain period of time interpersonal resistance critical striking defense rate is reduced^
^feamagnatu01_name^,^Flame^
^feamagnatu01_description_1^,^Ancient Magnatu attacks the enemy and reduces the speed of movement for a certain time^
^feacaspert00_name^,^Ancient regeneration^
^feacaspert00_description_1^,^The rehabilitation of the ancient Caspert is instantaneously restored and the vitality is continuously restored for a certain period of time^
^feacaspert01_name^,^Deadly^
^feacaspert01_description_1^,^The enemy continues to be damaged by the poison spoken by ancient Caspert and the casting speed and movement speed are reduced for a certain time^
^feabeldon01_name^,^Annihilation^
^feabeldon01_description_1^,^The enemy is damaged by the breath of lightning of ancient Beldon and reduces all defense for a certain time^
^feabeldon00_name^,^Brain dragon^
^feabeldon00_description_1^,^Ancient Beldon's blessings increase all damage and evasion rate for a certain time^
^febaros100_name^,^Golden Armor^
^febaros100_description_1^,^LoweRing fellows by Bars' protection increases adoptive and critical damage defense^
^febaros00_name^,^Golden^
^febaros00_description_1^,^Bars' flesh increases the rate of adult attack and bleeding through for a period of time^
^fenepia00_name^,^Star^
^fenepia00_description_1^,^Nepia protects you with the power of the star increases all defense maximum vitality for a certain time^
^fegpumpkin99_name^,^Golden Lake Bagi Energy^
^fegpumpkin99_description_1^,^The energy of the Golden Lake Bagi increases all attack power all defense maximum vitality and movement speed When an attack hit duRing summoning the 05% chance of attacking all attacks and defense for 20 seconds and the defense is increased by 15% <r_y> Level 55 </r_y>^
^fegpumpkin99_description_2^,^The energy of the Golden Lake Bagi increases all attack power all defense maximum vitality and movement speed When an attack hit duRing summoning the 05% chance of attacking all attacks and defense for 20 seconds and the defense is increased by 15% <r_y> Level 55 </r_y>^
^fegpumpkin99_description_3^,^The energy of the Golden Lake Bagi increases all attack power all defense maximum vitality and movement speed When an attack hit duRing summoning the 05% chance of attacking all attacks and defense for 20 seconds and the defense is increased by 15% <r_y> Level 55 </r_y>^
^fegpumpkin99_description_4^,^The energy of the Golden Lake Bagi increases all attack power all defense maximum vitality and movement speed When an attack hit duRing summoning the 05% chance of attacking all attacks and defense for 20 seconds and the defense is increased by 15% <r_y> Level 55 </r_y>^
^fegpumpkin99_description_5^,^The energy of the Golden Lake Bagi increases all attack power all defense maximum vitality and movement speed When an attack hit duRing summoning the 05% chance of attacking all attacks and defense for 20 seconds and the defense is increased by 15% <r_y> Level 55 </r_y>^
^fegpumpkin99_description_6^,^The energy of the Golden Lake Bagi increases all attack power all defense maximum vitality and movement speed When an attack hit duRing summoning the 05% chance of attacking all attacks and defense for 20 seconds and the defense is increased by 15% <r_y> Level 55 </r_y>^
^fegpumpkin99_description_7^,^The energy of the Golden Lake Bagi increases all attack power all defense maximum vitality and movement speed When an attack hit duRing summoning the 05% chance of attacking all attacks and defense for 20 seconds and the defense is increased by 15% <r_y> Level 55 </r_y>^
^fegpumpkin99_description_8^,^The energy of the Golden Lake Bagi increases all attack power all defense maximum vitality and movement speed When an attack hit duRing summoning the 05% chance of attacking all attacks and defense for 20 seconds and the defense is increased by 15% <r_y> Level 55 </r_y>^
^fegpumpkin00_name^,^Golden pumpkin blessing^
^fegpumpkin00_description_1^,^The power of the Golden Lake Bagi increases all damage and critical defense breakthroughs for a certain time^
^feevcaras99_name^,^Karasha's fate^
^feevcaras99_description_1^,^The power of the fate of Karasha increases all damage maximum vitality all defense and movement speed^
^feevcaras99_description_2^,^The power of the fate of Karasha increases all damage maximum vitality all defense and movement speed^
^feevcaras99_description_3^,^The power of the fate of Karasha increases all damage maximum vitality all defense and movement speed^
^feevcaras99_description_4^,^The power of the fate of Karasha increases all damage maximum vitality all defense and movement speed^
^feevcaras99_description_5^,^The power of the fate of Karasha increases all damage maximum vitality all defense and movement speed^
^feevcaras99_description_6^,^The power of the fate of Karasha increases all damage maximum vitality all defense and movement speed^
^feevcaras99_description_7^,^The power of the fate of Karasha increases all damage maximum vitality all defense and movement speed^
^feevcaras99_description_8^,^The power of the fate of Karasha increases all damage maximum vitality all defense and movement speed^
^feevagnas99_name^,^Agnas' fate^
^feevagnas99_description_1^,^The power of Agnas's fate increases all attack power maximum vitality all defense and movement speed^
^feevagnas99_description_2^,^The power of Agnas's fate increases all attack power maximum vitality all defense and movement speed^
^feevagnas99_description_3^,^The power of Agnas's fate increases all attack power maximum vitality all defense and movement speed^
^feevagnas99_description_4^,^The power of Agnas's fate increases all attack power maximum vitality all defense and movement speed^
^feevagnas99_description_5^,^The power of Agnas's fate increases all attack power maximum vitality all defense and movement speed^
^feevagnas99_description_6^,^The power of Agnas's fate increases all attack power maximum vitality all defense and movement speed^
^feevagnas99_description_7^,^The power of Agnas's fate increases all attack power maximum vitality all defense and movement speed^
^feevagnas99_description_8^,^The power of Agnas's fate increases all attack power maximum vitality all defense and movement speed^
^feevjaminus99_name^,^Jaminus' fate^
^feevjaminus99_description_1^,^The power of the fate of Jaminus increases all damage maximum vitality all defense and movement speed^
^feevjaminus99_description_2^,^The power of the fate of Jaminus increases all damage maximum vitality all defense and movement speed^
^feevjaminus99_description_3^,^The power of the fate of Jaminus increases all damage maximum vitality all defense and movement speed^
^feevjaminus99_description_4^,^The power of the fate of Jaminus increases all damage maximum vitality all defense and movement speed^
^feevjaminus99_description_5^,^The power of the fate of Jaminus increases all damage maximum vitality all defense and movement speed^
^feevjaminus99_description_6^,^The power of the fate of Jaminus increases all damage maximum vitality all defense and movement speed^
^feevjaminus99_description_7^,^The power of the fate of Jaminus increases all damage maximum vitality all defense and movement speed^
^feevjaminus99_description_8^,^The power of the fate of Jaminus increases all damage maximum vitality all defense and movement speed^
^feevbaniche99_name^,^Varnish^
^feevbaniche99_description_1^,^The power of the fate of the varnish increases all attack power maximum vitality all defense and movement speed^
^feevbaniche99_description_2^,^The power of the fate of the varnish increases all attack power maximum vitality all defense and movement speed^
^feevbaniche99_description_3^,^The power of the fate of the varnish increases all attack power maximum vitality all defense and movement speed^
^feevbaniche99_description_4^,^The power of the fate of the varnish increases all attack power maximum vitality all defense and movement speed^
^feevbaniche99_description_5^,^The power of the fate of the varnish increases all attack power maximum vitality all defense and movement speed^
^feevbaniche99_description_6^,^The power of the fate of the varnish increases all attack power maximum vitality all defense and movement speed^
^feevbaniche99_description_7^,^The power of the fate of the varnish increases all attack power maximum vitality all defense and movement speed^
^feevbaniche99_description_8^,^The power of the fate of the varnish increases all attack power maximum vitality all defense and movement speed^
^feevcaras00_name^,^Frozen Breath^
^feevcaras00_description_1^,^The frozen breath reduces the enemy's defense and movement speed^
^feevagnas00_name^,^Flame press^
^feevagnas00_description_1^,^The burning breath increases the owner's damage the breakthrough of the critical defense rate^
^feevjaminus00_name^,^Jaminus^
^feevjaminus00_description_1^,^Divine protection increases defense for a certain period of time and continues to restore its vitality^
^feevbaniche00_name^,^Barnish blessing^
^feevbaniche00_description_1^,^The energy of blessing increases all damage^
^febulka99_name^,^Vulcanus's power^
^febulka99_description_1^,^The power of the bulkinus increases all damage maximum vitality all critical damage and movement speed^
^febulka99_description_2^,^The power of the bulkinus increases all damage maximum vitality all critical damage and movement speed^
^febulka99_description_3^,^The power of the bulkinus increases all damage maximum vitality all critical damage and movement speed^
^febulka99_description_4^,^The power of the bulkinus increases all damage maximum vitality all critical damage and movement speed^
^febulka99_description_5^,^The power of the bulkinus increases all damage maximum vitality all critical damage and movement speed^
^febulka99_description_6^,^The power of the bulkinus increases all damage maximum vitality all critical damage and movement speed^
^febulka99_description_7^,^The power of the bulkinus increases all damage maximum vitality all critical damage and movement speed^
^febulka99_description_8^,^The power of the bulkinus increases all damage maximum vitality all critical damage and movement speed^
^feantares99_name^,^Anger of Antares^
^feantares99_description_1^,^Anger of Antares increases all attack power all critical damage all defense and movement speed An attacking hit duRing summoning is a 3% chance of increasing all attack power by 20% for 15 seconds^
^feantares99_description_2^,^Anger of Antares increases all attack power all critical damage all defense and movement speed An attacking hit duRing summoning is a 3% chance of increasing all attack power by 20% for 15 seconds^
^feantares99_description_3^,^Anger of Antares increases all attack power all critical damage all defense and movement speed An attacking hit duRing summoning is a 3% chance of increasing all attack power by 20% for 15 seconds^
^feantares99_description_4^,^Anger of Antares increases all attack power all critical damage all defense and movement speed An attacking hit duRing summoning is a 3% chance of increasing all attack power by 20% for 15 seconds^
^feantares99_description_5^,^Anger of Antares increases all attack power all critical damage all defense and movement speed An attacking hit duRing summoning is a 3% chance of increasing all attack power by 20% for 15 seconds^
^feantares99_description_6^,^Anger of Antares increases all attack power all critical damage all defense and movement speed An attacking hit duRing summoning is a 3% chance of increasing all attack power by 20% for 15 seconds^
^feantares99_description_7^,^Anger of Antares increases all attack power all critical damage all defense and movement speed An attacking hit duRing summoning is a 3% chance of increasing all attack power by 20% for 15 seconds^
^feantares99_description_8^,^Anger of Antares increases all attack power all critical damage all defense and movement speed An attacking hit duRing summoning is a 3% chance of increasing all attack power by 20% for 15 seconds^
^fespiroon99_name^,^Moon's energy^
^fespiroon99_description_1^,^The energy of the moon increases all attack power all defense maximum vitality and movement speed^
^fespiroon99_description_2^,^The energy of the moon increases all attack power all defense maximum vitality and movement speed^
^fespiroon99_description_3^,^The energy of the moon increases all attack power all defense maximum vitality and movement speed^
^fespiroon99_description_4^,^The energy of the moon increases all attack power all defense maximum vitality and movement speed^
^fespiroon99_description_5^,^The energy of the moon increases all attack power all defense maximum vitality and movement speed^
^fespiroon99_description_6^,^The energy of the moon increases all attack power all defense maximum vitality and movement speed^
