t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^prudence_Name^,^[석궁] 폭발 사격^,^^,^^,^Explosive Shot^,^^,^^
^prudence_description_1^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_2^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_3^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_4^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_5^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_6^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_7^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_8^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_9^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_10^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_11^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_12^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_13^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_14^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_15^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_16^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
^prudence_description_17^,^폭풍의 기운을 담은 화살을 발사하여 대상 및 대상 주변의 적에게 데미지를 주고 일정 시간 넘어지게 한다.^,^^,^^,^Fires a bolt coated with flame to deal area damage and knock down enemies.^,^^,^^
