t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^Pr_Absorpmp_Name^,^에너지 흡수^,^^,^^,^United in Faith^,^^,^^
^Pr_Absorpmp_Description_1^,^적 대상의 MP를 6초 동안 1초당 14씩 흡수한다.^,^^,^^,^[BUG] Absorbs 14 mana per second for 6 seconds.^,^^,^^
^Pr_Absorpmp_Description_2^,^적 대상의 MP를 6초 동안 1초당 20씩 흡수한다.^,^^,^^,^[BUG] Absorbs 20 mana per second for 6 seconds.^,^^,^^
^Pr_Absorpmp_Description_3^,^적 대상의 MP를 6초 동안 1초당 27씩 흡수한다.^,^^,^^,^[BUG] Absorbs 27 mana per second for 6 seconds.^,^^,^^
^Pr_Absorpmp_Description_4^,^적 대상의 MP를 6초 동안 1초당 40씩 흡수한다.^,^^,^^,^[BUG] Absorbs 40 mana per second for 6 seconds.^,^^,^^
^Pr_Absorpmp_Description_5^,^적 대상의 MP를 6초 동안 1초당 30씩 흡수한다.^,^^,^^,^[BUG] Absorbs 30 mana per second for 6 seconds.^,^^,^^
^Pr_Absorpmp_Description_6^,^적 대상의 MP를 6초 동안 1초당 30씩 흡수한다.^,^^,^^,^[BUG] Absorbs 30 mana per second for 6 seconds.^,^^,^^
^pr_absorptionShield_Name^,^흡수의 보호막^,^^,^^,^Absorption Barrier^,^^,^^
^pr_absorptionShield_Description_1^,^생명의 보호막의 상급 패시브 스킬로 일정 확률로 보호막의 데미지를 흡수하여 해당 데미지의 일정 비율을  생명력으로 회복한다.^,^^,^^,^[BUG] An advanced passive skill of the Barrier of Life tHat absorbs damage of the barrier at a chance to recover a set proportion of tHat damage to your Health.^,^^,^^
^pr_absorptionShield_Description_2^,^생명의 보호막의 상급 패시브 스킬로 일정 확률로 보호막의 데미지를 흡수하여 해당 데미지의 일정 비율을  생명력으로 회복한다.^,^^,^^,^[BUG] An advanced passive skill of the Barrier of Life tHat absorbs damage of the barrier at a chance to recover a set proportion of tHat damage to your Health.^,^^,^^
^pr_absorptionShield_Description_3^,^생명의 보호막의 상급 패시브 스킬로 일정 확률로 보호막의 데미지를 흡수하여 해당 데미지의 일정 비율을  생명력으로 회복한다.^,^^,^^,^[BUG] An advanced passive skill of the Barrier of Life tHat absorbs damage of the barrier at a chance to recover a set proportion of tHat damage to your Health.^,^^,^^
^pr_airfetter_Name^,^공중 속박^,^^,^^,^[BUG] Aerial Restriction^,^^,^^
^pr_airfetter_Description_1^,^염력의 상급 스킬로 대상을 일정 시간 동안 공중에서 멈추게 한다.^,^^,^^,^[BUG] An advanced psychokinesis skill tHat temporarily stops a target in the air.^,^^,^^
^pr_airfetter_Description_2^,^염력의 상급 스킬로 대상을 일정 시간 동안 공중에서 멈추게 한다.^,^^,^^,^[BUG] An advanced psychokinesis skill tHat temporarily stops a target in the air.^,^^,^^
^pr_airfetter_Description_3^,^염력의 상급 스킬로 대상을 일정 시간 동안 공중에서 멈추게 한다.^,^^,^^,^[BUG] An advanced psychokinesis skill tHat temporarily stops a target in the air.^,^^,^^
^pr_bendShield_Name^,^굴절 보호막^,^^,^^,^[BUG] Curving Barrier^,^^,^^
^pr_bendShield_Description_1^,^지속시간동안 원거리 물리 공격을 30% 의 확률로 면역. 10초 동안 지속 된다.^,^^,^^,^[BUG] 30% chance to temporarily resist ranged physical attacks. Duration: 10 sec.^,^^,^^
^pr_bendShield_Description_2^,^지속시간동안 원거리 물리 공격을 45% 의 확률로 면역. 10초 동안 지속 된다.^,^^,^^,^[BUG] 45% chance to temporarily resist ranged physical attacks. Duration: 10 sec.^,^^,^^
^pr_bendShield_Description_3^,^지속시간동안 원거리 물리 공격을 60% 의 확률로 면역. 10초 동안 지속 된다.^,^^,^^,^[BUG] 60% chance to temporarily resist ranged physical attacks. Duration: 10 sec.^,^^,^^
