t_key,t_korean
^SO_TEST_1_0001_Name^,^Corresponding area^
^SO_TEST_1_0002_Name^,^icicle^
^SO_TEST_1_0003_Name^,^Fellow food^
^SO_TEST_1_0004_Name^,^Ice crystal^
^SO_TEST_1_0005_Name^,^Golem Summon 2 Use Location^
^SO_TEST_1_0006_Name^,^Magma eruption^
^SO_TEST_1_0007_Name^,^Bullage (Rex)^
^SO_TEST_1_0008_Name^,^Rex^
^SO_TEST_1_0009_Name^,^black hole^
^SO_TEST_1_0010_Name^,^Bing^
^SO_TEST_1_0011_Name^,^Wild boar rushing effect^
^SO_TEST_1_0012_Name^,^Supervisor^
^SO_TEST_1_0013_Name^,^Summoning Rhino Combat Box^
^SO_TEST_1_0014_Name^,^Flame^
^SO_TEST_1_0015_Name^,^Santine wall break^
^SO_TEST_1_0016_Name^,^Santin Running point^
^SO_TEST_1_0017_Name^,^Notice of destruction^
^SO_TEST_1_0018_Name^,^Pillar^
^SO_TEST_1_0019_Name^,^Pillar^
^SO_TEST_1_0020_Name^,^Call Trigger (Deacon Lambrand)^
^SO_TEST_1_0021_Name^,^Call Trigger (chef Kost)^
^SO_TEST_1_0022_Name^,^Time bomb^
^SO_TEST_1_0023_Name^,^Stones^
^SO_TEST_1_0024_Name^,^black hole^
^SO_TEST_1_0025_Name^,^Flame property^
^SO_TEST_1_0026_Name^,^MatuContin^
^SO_TEST_1_0027_Name^,^Cold attribute area^
^SO_TEST_1_0028_Name^,^Light attribute area^
^SO_TEST_1_0029_Name^,^Dark attribute area^
^SO_TEST_1_0030_Name^,^Kuntin^
^SO_TEST_1_0031_Name^,^Arrow^
^SO_TEST_1_0032_Name^,^Arrow^
^SO_TEST_1_0033_Name^,^Storm^
^SO_TEST_1_0034_Name^,^Storm^
^SO_TEST_1_0035_Name^,^Keron^
^SO_TEST_1_0036_Name^,^Arrow^
^SO_TEST_1_0037_Name^,^Acidic^
^SO_TEST_1_0038_Name^,^Hail^
^SO_TEST_1_0039_Name^,^Death^
^SO_TEST_1_0040_Name^,^Ground bomb^
^SO_TEST_1_0041_Name^,^Punishment^
^SO_TEST_1_0042_Name^,^Cucumber^
^SO_TEST_1_0043_Name^,^Referee^
^SO_TEST_1_0044_Name^,^Protector^
^SO_TEST_1_0045_Name^,^Ice arrow^
^SO_TEST_1_0046_Name^,^Ice awl^
^SO_TEST_1_0047_Name^,^Water totem^
^SO_TEST_1_0048_Name^,^Cold area^
^SO_TEST_1_0049_Name^,^Darkness transformation^
^SO_TEST_1_0050_Name^,^Light of Light^
^SO_TEST_1_0051_Name^,^Flame column link^
^SO_TEST_1_0052_Name^,^Link to flame meteorite^
^SO_TEST_1_0053_Name^,^Teleportation^
^SO_TEST_1_0054_Name^,^Lightning of light^
^SO_TEST_1_0055_Name^,^Freezing fog link^
^SO_TEST_1_0056_Name^,^Shower Link 1^
^SO_TEST_1_0057_Name^,^Shower Link 2^
^SO_TEST_1_0058_Name^,^Summoning Rhino Combat Box^
^SO_TEST_1_0059_Name^,^Notice of destruction^
^SO_TEST_1_0080_Name^,^Dark whirlpool^
^SO_TEST_1_0105_Name^,^Frozen Way^
^SO_TEST_1_0174_Name^,^Condensed cold weather^
^SO_TEST_1_0175_Name^,^Condensed cold weather^
^SO_TEST_1_0176_Name^,^Ground^
^SO_TEST_1_0195_Name^,^Discharged energy^
^SO_TEST_1_0065_Name^,^Discharged energy^
^SO_TEST_1_0196_Name^,^Cold energy^
^SO_TEST_1_0197_Name^,^Blood explosion^
^SO_TEST_1_0198_Name^,^Cold land^
^SO_TEST_1_0199_Name^,^Hail^
^SO_TEST_1_0200_Name^,^Ice pillar^
^SO_TEST_1_0201_Name^,^Ice pillar^
^SO_TEST_1_0202_Name^,^Sand breeze^
^SO_TEST_1_0203_Name^,^Fierce sand^
^SO_TEST_1_0204_Name^,^Vacuum cutting^
^SO_TEST_1_0205_Name^,^Referee^
^SO_TEST_1_0206_Name^,^Pillar^
^SO_TEST_1_0207_Name^,^Iron pillar^
^SO_TEST_1_0208_Name^,^Ice arrow^
^SO_TEST_1_0209_Name^,^Sand breeze^
^SO_TEST_1_0210_Name^,^Referee^
^SO_TEST_1_0211_Name^,^Ice pillar^
^SO_TEST_1_0212_Name^,^God's judgment^
^SO_TEST_1_0213_Name^,^Land explosion^
^SO_TEST_1_0214_Name^,^smoke screen^
^SO_TEST_1_0215_Name^,^Sand breeze^
^SO_TEST_1_0216_Name^,^Ruin^
^SO_TEST_1_0217_Name^,^Control stone^
^SO_TEST_1_0218_Name^,^Control stone^
^SO_TEST_1_0219_Name^,^Control stone^
^SO_TEST_1_0220_Name^,^Control stone^
^SO_TEST_1_0221_Name^,^Sandstone^
^SO_TEST_1_0222_Name^,^Dancer^
^SO_TEST_1_0223_Name^,^Feast of light^
