t_key,t_korean
^getitemruleunique^,^Unique^
^ui_autolooting_Unique^,^Earn a unique rank or higher^
^quick_request_mentor^,^Mentor request^
^quick_invite_mentee^,^Invite mentee^
^ui_tab_friendlist_mentoring^,^Mentoring^
^ui_title_mentoring_invite_mentee^,^Invite mentee^
^ui_title_mentoring_request_mentor^,^Request Mentor^
^ui_title_mentoring_reward^,^Mentoring Reward^
^ui_desc_mentoring_invite_mentee^,^Enter the name of the mentee you want to invite.^
^ui_desc_mentoring_request_mentor^,^Enter the name of the mentor you want to request.^
^ui_desc_release_mentoring^,^When you release a mentoring relationship, you cannot enter into a mentoring relationship for 24 hours.
Do you really want to release a mentoring relationship? ^
^ou can graduate by achieving the level ^ui_desc_mentoring_request_graduate^,^.
Ask your mentor to graduate?

<G_Y>(The graduation request cannot be canceled and the mentoring relationship will be automatically terminated if there is no approval from the mentor for 3 days after request.)</G_Y>^
^ui_mentoring_person^,^person^
^ui_mentoring_level_reward_label^,^Level up reward^
^ui_mentoring_mentee_reward_label^,^mentee reward^
^ui_mentoring_mentor_reward_label^,^Mentor Reward^
^ui_mentoring_buff_reward_label^,^Buff reward^
^ui_mentoring_move_label^,^Move Convenience Functions^
^ui_mentoring_reward_desc^,^Having a mentoring relationship will give you special benefits.^
^ui_mentoring_level_reward_desc1^,^Rewards are given when the mentee reaches level 20, 30, 40, 50, 55, or 60.^
^ui_mentoring_level_reward_desc2^,^Rewards are sent to Elora's storage box after the mentee achieves the conditional level.
(If not received within 7 days, the reward will be deleted.)^
^ui_mentoring_buff_reward_desc^,^When a mentor and a mentee connect at the same time, a special buff is applied.^
^ui_mentoring_move_desc^,^A character who has a mentoring relationship can summon an opponent without consuming Elune.^
^ui_mentoring_graduation_label^,^graduation^
^ui_mentoring_mentee_buff_label^,^mentee buff^
^ui_mentoring_mentor_buff_label^,^Mentor Buff^
^shop_tab_alsas^,^Alsace^
^shop_tab_telio^,^Telio^
^ui_arena_grade_table_info^,^Show rank information window^
^ui_arena_no_record^,^No record^
^ui_arena_rank^,^rank rank^
^ui_gameoption_fishingmsg_onoff^,^Print out the message of getting a great fishing fish^
^ui_tooltip_set_fishingmsg_onoff^,^If selected, a message will be displayed in the cHat window when another person acquires a large fish through fishing.^
^FeBuff015^,^Beginning of Turimnan Journey^
^FeBuff016^,^Responsible for your vitality^
^FeBuff017^,^Glare tHat cuts through the darkness^
^FeBuff018^,^Divine Intelligence^
^FeBuff019^,^Heavenly Power^
^FeBuff015desc^,^100% of character acquisition experience (1 hour)^
^FeBuff016desc^,^Life absorption rate +30%, Efficiency +10%, Health +50% (1 hour)^
^FeBuff017desc^,^All State 15% (2 hours)^
^FeBuff018desc^,^Intellect +500 (2 hours)^
^FeBuff019desc^,^Strength+500 (2 hours)^
^FeBuff015_desc^,^100% of character acquisition experience (1 hour)^
^FeBuff016_desc^,^Life absorption rate +30%, Efficiency +10%, Health +50% (1 hour)^
^FeBuff017_desc^,^All State 15% (2 hours)^
^FeBuff018_desc^,^Intellect +500 (2 hours)^
^FeBuff019_desc^,^Strength+500 (2 hours)^
^ui_partyboard_list_hidetext^,^The list is not displayed duRing the ranking match^
^ui_mentoring_mentor^,^멘토^
^ui_mentoring_mentee^,^멘티^
^ui_friendlist_friendlist_relation^,^relationship^
^ui_graduate_mentee^,^mentee who graduated^
^ui_possess_mentee^,^Retained mentee^
