t_key,t_koreanorg,t_jpn,t_chinese,t_korean,t_eng_2,t_eng_3
^SecDamage^,^초당 데미지^,^秒毎のダメージ^,^enu초당 데미지^,^DPS^,^^,^^
^CriticalRate^,^치명타율^,^クリティカル率^,^극대화율^,^Critical Rate^,^^,^^
^CombinePower^,^결속 파워^,^結束パワー^,^결속 파워^,^Solidarity^,^^,^^
^Casting^,^캐스팅^,^キャスティング^,^캐스팅^,^Cast^,^^,^^
^Activity^,^발동^,^発動^,^발동^,^Activate^,^^,^^
^InvCastingTarget^,^역캐스팅_타겟^,^逆キャスティング_ターゲット^,^역캐스팅_타겟^,^Reverse Casting_Target^,^^,^^
^CoolTime^,^재사용^,^再使用^,^쿨타임^,^Cooldown:^,^^,^^
^CannotTrade^,^거래 불가^,^取引不可^,^거래불가^,^Untradable^,^^,^^
^CannotDestroy^,^파괴 불가^,^破壊不可^,^파괴불가^,^Indestructible^,^^,^^
^CanTrade^,^거래 가능^,^取引可能^,^거래가능^,^Tradable^,^^,^^
^BelongingGet^,^획득시 귀속^,^獲得の際帰属^,^획득시 귀속^,^Bind on Obtain^,^^,^^
^BelongingEquip^,^착용시 귀속^,^着用の際帰属^,^장착시 귀속^,^Bind on Equip^,^^,^^
^CannotPerTrade^,^개인 거래 불가^,^個人取引不可^,^개인간 거래불가^,^Untradable^,^^,^^
^CannotShopTrade^,^상점 판매 불가^,^商店販売不可^,^착용 제한^,^Unsellable^,^^,^^
^LimitEquip^,^착용 제한^,^着用制限^,^착용 제한^,^Limited Equip^,^^,^^
^Upper^,^이상^,^以上^,^이상^,^Above^,^^,^^
^AttackAttr^,^공격 속성^,^攻撃属性^,^공격 속성^,^Attack Affinity^,^^,^^
^AttackAttrNone^,^무속성^,^無属性^,^무속성^,^No Affinity^,^^,^^
^Phy^,^물리^,^物理^,^물리^,^Physical^,^^,^^
^Fire^,^화염^,^火炎^,^불^,^Fire^,^^,^^
^Ice^,^냉기^,^冷気^,^얼음^,^Ice^,^^,^^
^Light^,^빛^,^光^,^번개^,^Light^,^^,^^
^Dark^,^어둠^,^闇^,^정신^,^Dark^,^^,^^
^OneHandSword^,^한손검^,^ソード^,^한손 베는 무기^,^Sword^,^^,^^
^TwoHandSword^,^양손검^,^ブレード^,^양손 베는 무기^,^GreatSword^,^^,^^
^OneHandHammer^,^한손둔기^,^片手鈍器^,^한손 때리는 무기^,^Club^,^^,^^
^TwoHandHammer^,^양손둔기^,^両手鈍器^,^양손 때리는 무기^,^Maul^,^^,^^
